Wall time,Step,Value
1586110154.790776,0,0.5391402840614319
1586110218.951348,7,0.5391385555267334
1586110338.43406,21,0.5392012596130371
1586110456.7878342,36,0.5392532348632812
1586110578.983196,50,0.5392774343490601
1586890399.794749,64,0.5392941832542419
1586890455.021833,70,0.5393010973930359
1586890576.258569,83,0.5393134355545044
1586890694.035488,98,0.5393289923667908
1586890814.365814,112,0.5393443703651428
1586890937.290339,126,0.5393564105033875
1586891056.354862,140,0.5393666625022888
1586891176.4908018,154,0.5393797755241394
1586891295.217133,168,0.5393917560577393
1586891414.46617,183,0.5394014120101929
1586891535.232357,197,0.53940749168396
1586891654.123344,211,0.5394110679626465
1586891775.196637,225,0.5394153594970703
1586891896.013547,239,0.5394183993339539
1586892019.144299,252,0.5394235253334045
1586892136.350464,264,0.5394265651702881
1586892259.534313,275,0.5394271612167358
1586892376.347837,287,0.5394283533096313
1586892497.4192178,298,0.5394289493560791
1586892619.837739,309,0.5394296646118164
1586892739.745203,320,0.5394306778907776
1586892856.112101,332,0.5394322872161865
1586892978.592684,343,0.5394320487976074
1586893098.100651,355,0.5394323468208313
1586893217.1555588,367,0.5394326448440552
1586893336.775841,378,0.5394311547279358
1586893459.6260989,389,0.5394312739372253
1586893580.6383948,400,0.5394319295883179
1586893696.213245,411,0.5394313931465149
1586893816.012473,422,0.5394284129142761
1586893937.7687008,434,0.5394255518913269
1586894058.355953,445,0.5394208431243896
1586894175.746502,457,0.5394158959388733
1586894296.895906,469,0.5394118428230286
1586894418.24544,480,0.5394084453582764
