Wall time,Step,Value
1586110154.790776,0,3.300482749938965
1586110218.951348,7,2.953244924545288
1586110338.43406,21,1.9559690952301025
1586110456.7878342,36,1.4356895685195923
1586110578.983196,50,1.6334346532821655
1586890399.794749,64,1.1130597591400146
1586890455.021833,70,1.1231135129928589
1586890576.258569,83,0.707592785358429
1586890694.035488,98,0.6173801422119141
1586890814.365814,112,0.6004761457443237
1586890937.290339,126,0.45848819613456726
1586891056.354862,140,0.6397888660430908
1586891176.4908018,154,0.38090506196022034
1586891295.217133,168,0.361334890127182
1586891414.46617,183,0.2967652380466461
1586891535.232357,197,0.38558754324913025
1586891654.123344,211,0.25332218408584595
1586891775.196637,225,0.27809640765190125
1586891896.013547,239,0.2781202495098114
1586892019.144299,252,0.44339823722839355
1586892136.350464,264,0.2894856333732605
1586892259.534313,275,0.23511666059494019
1586892376.347837,287,0.33183178305625916
1586892497.4192178,298,0.2643769681453705
1586892619.837739,309,0.3213861584663391
1586892739.745203,320,0.4078439772129059
1586892856.112101,332,0.27574118971824646
1586892978.592684,343,0.20359911024570465
1586893098.100651,355,0.18374431133270264
1586893217.1555588,367,0.26004281640052795
1586893336.775841,378,0.18476055562496185
1586893459.6260989,389,0.16950151324272156
1586893580.6383948,400,0.15821833908557892
1586893696.213245,411,0.1967785507440567
1586893816.012473,422,0.2975418269634247
1586893937.7687008,434,0.17088471353054047
1586894058.355953,445,0.14594116806983948
1586894175.746502,457,0.17068330943584442
1586894296.895906,469,0.19779033958911896
1586894418.24544,480,0.13565126061439514
