Wall time,Step,Value
1586110154.790776,0,13.652727127075195
1586110218.951348,7,10.218714714050293
1586110338.43406,21,6.163193702697754
1586110456.7878342,36,5.376941680908203
1586110578.983196,50,5.987729549407959
1586890399.794749,64,4.6085357666015625
1586890455.021833,70,4.521413326263428
1586890576.258569,83,3.222809076309204
1586890694.035488,98,3.096747875213623
1586890814.365814,112,2.811432361602783
1586890937.290339,126,2.5589897632598877
1586891056.354862,140,3.1129307746887207
1586891176.4908018,154,2.0482237339019775
1586891295.217133,168,2.198603391647339
1586891414.46617,183,1.799045205116272
1586891535.232357,197,2.0398921966552734
1586891654.123344,211,1.576895833015442
1586891775.196637,225,1.6335357427597046
1586891896.013547,239,1.6671358346939087
1586892019.144299,252,2.1022071838378906
1586892136.350464,264,1.889394760131836
1586892259.534313,275,1.4839168787002563
1586892376.347837,287,1.6485165357589722
1586892497.4192178,298,1.5328301191329956
1586892619.837739,309,1.849967122077942
1586892739.745203,320,1.7756890058517456
1586892856.112101,332,1.6036949157714844
1586892978.592684,343,1.1591262817382812
1586893098.100651,355,1.1607778072357178
1586893217.1555588,367,1.4360307455062866
1586893336.775841,378,1.138914704322815
1586893459.6260989,389,1.1505793333053589
1586893580.6383948,400,1.039878010749817
1586893696.213245,411,1.2005674839019775
1586893816.012473,422,1.4829251766204834
1586893937.7687008,434,1.0503747463226318
1586894058.355953,445,0.9683372974395752
1586894175.746502,457,1.2748198509216309
1586894296.895906,469,1.2493022680282593
1586894418.24544,480,0.9666317701339722
