Wall time,Step,Value
1586110154.790776,0,10.35224437713623
1586110218.951348,7,7.265469551086426
1586110338.43406,21,4.207224369049072
1586110456.7878342,36,3.9412519931793213
1586110578.983196,50,4.354295253753662
1586890399.794749,64,3.495476007461548
1586890455.021833,70,3.3982999324798584
1586890576.258569,83,2.51521635055542
1586890694.035488,98,2.479367733001709
1586890814.365814,112,2.210956335067749
1586890937.290339,126,2.100501537322998
1586891056.354862,140,2.47314190864563
1586891176.4908018,154,1.6673188209533691
1586891295.217133,168,1.837268352508545
1586891414.46617,183,1.5022799968719482
1586891535.232357,197,1.6543045043945312
1586891654.123344,211,1.3235735893249512
1586891775.196637,225,1.355439305305481
1586891896.013547,239,1.3890156745910645
1586892019.144299,252,1.6588088274002075
1586892136.350464,264,1.5999091863632202
1586892259.534313,275,1.2488001585006714
1586892376.347837,287,1.316684603691101
1586892497.4192178,298,1.2684531211853027
1586892619.837739,309,1.528580904006958
1586892739.745203,320,1.367845058441162
1586892856.112101,332,1.3279536962509155
1586892978.592684,343,0.9555271863937378
1586893098.100651,355,0.9770334959030151
1586893217.1555588,367,1.1759878396987915
1586893336.775841,378,0.9541541934013367
1586893459.6260989,389,0.9810778498649597
1586893580.6383948,400,0.8816596269607544
1586893696.213245,411,1.003788948059082
1586893816.012473,422,1.1853833198547363
1586893937.7687008,434,0.8794900178909302
1586894058.355953,445,0.8223961591720581
1586894175.746502,457,1.1041364669799805
1586894296.895906,469,1.0515120029449463
1586894418.24544,480,0.8309804797172546
