Wall time,Step,Value
1586110112.183965,0,0.0
1586110227.4216058,8,0.06942173093557358
1586110347.416853,23,0.12500494718551636
1586110468.041654,37,0.11606238782405853
1586110587.418818,51,0.11727536469697952
1586890387.581032,64,0.0
1586890467.9220648,71,0.08712831139564514
1586890588.058461,85,0.11653420329093933
1586890707.9225411,99,0.11679895222187042
1586890827.9225569,113,0.11666665226221085
1586890947.9191198,127,0.11667001247406006
1586891067.92022,142,0.12499885261058807
1586891188.472356,156,0.11613234877586365
1586891308.06423,170,0.11706480383872986
1586891427.9228868,184,0.11680424958467484
1586891547.9228039,198,0.11666672676801682
1586891667.9234948,212,0.11666598916053772
1586891787.9225311,226,0.11666759848594666
1586891907.921012,241,0.12500157952308655
1586892027.9258602,253,0.09999598562717438
1586892147.922297,265,0.1000029593706131
1586892267.9192262,276,0.09166902303695679
1586892387.9186618,288,0.10000046342611313
1586892508.1315289,299,0.09150435030460358
1586892627.9209669,310,0.09182778745889664
1586892747.91941,321,0.09166785329580307
1586892868.7077289,333,0.09934736788272858
1586892987.922345,344,0.09227056056261063
1586893107.921012,356,0.10000111162662506
1586893227.9210281,368,0.09999996423721313
1586893348.5726268,379,0.09117162227630615
1586893467.9187489,390,0.0921689048409462
1586893588.814933,401,0.09098715335130692
1586893708.9249542,412,0.09158269315958023
1586893828.5111449,423,0.0919838696718216
1586893947.922357,435,0.10049305856227875
1586894067.91903,446,0.0916692316532135
1586894188.059932,458,0.09988270699977875
1586894307.918666,470,0.10011783987283707
1586894427.91897,481,0.09166645258665085
