Wall time,Step,Value
1586110154.790776,0,0.004000000189989805
1586110218.951348,7,0.004000000189989805
1586110338.43406,21,0.004000000189989805
1586110456.7878342,36,0.004000000189989805
1586110578.983196,50,0.004000000189989805
1586890399.794749,64,0.004000000189989805
1586890455.021833,70,0.004000000189989805
1586890576.258569,83,0.004000000189989805
1586890694.035488,98,0.004000000189989805
1586890814.365814,112,0.004000000189989805
1586890937.290339,126,0.004000000189989805
1586891056.354862,140,0.004000000189989805
1586891176.4908018,154,0.004000000189989805
1586891295.217133,168,0.004000000189989805
1586891414.46617,183,0.004000000189989805
1586891535.232357,197,0.004000000189989805
1586891654.123344,211,0.004000000189989805
1586891775.196637,225,0.004000000189989805
1586891896.013547,239,0.004000000189989805
1586892019.144299,252,0.004000000189989805
1586892136.350464,264,0.004000000189989805
1586892259.534313,275,0.004000000189989805
1586892376.347837,287,0.004000000189989805
1586892497.4192178,298,0.004000000189989805
1586892619.837739,309,0.004000000189989805
1586892739.745203,320,0.004000000189989805
1586892856.112101,332,0.004000000189989805
1586892978.592684,343,0.004000000189989805
1586893098.100651,355,0.004000000189989805
1586893217.1555588,367,0.004000000189989805
1586893336.775841,378,0.004000000189989805
1586893459.6260989,389,0.004000000189989805
1586893580.6383948,400,0.004000000189989805
1586893696.213245,411,0.004000000189989805
1586893816.012473,422,0.004000000189989805
1586893937.7687008,434,0.004000000189989805
1586894058.355953,445,0.004000000189989805
1586894175.746502,457,0.004000000189989805
1586894296.895906,469,0.004000000189989805
1586894418.24544,480,0.004000000189989805
