,Name,Area
0,08-07-352-008.png,91248.5
1,08-07-352-020.png,66854.5
2,08-07-353-019.png,72088.0
3,08-07-353-018.png,72077.0
4,08-07-352-021.png,66784.0
5,08-07-352-009.png,83204.0
6,08-07-352-023.png,66419.0
7,08-07-352-022.png,66768.0
8,08-07-352-026.png,118555.5
9,08-07-352-032.png,89526.5
10,08-07-353-022.png,72084.0
11,08-07-352-027.png,89441.0
12,08-07-352-031.png,69774.5
13,08-07-352-025.png,68228.5
14,08-07-352-019.png,73975.0
15,08-07-353-020.png,72212.5
16,08-07-353-008.png,120470.0
17,08-07-353-009.png,105429.0
18,08-07-353-021.png,72134.0
19,08-07-352-018.png,117398.0
20,08-07-352-024.png,66684.0
21,08-07-352-030.png,69688.0
22,08-07-352-029.png,69515.5
23,08-07-352-015.png,67044.5
24,08-07-352-001.png,87083.0
25,08-07-353-004.png,69819.0
26,08-07-353-010.png,114029.5
27,08-07-353-011.png,77056.0
28,08-07-353-005.png,83548.5
29,08-07-352-014.png,66785.5
30,08-07-352-028.png,68706.5
31,08-07-352-002.png,66980.0
32,08-07-352-016.png,66114.5
33,08-07-353-013.png,83557.0
34,08-07-353-007.png,80507.5
35,08-07-353-006.png,94553.0
36,08-07-353-012.png,93176.5
37,08-07-352-017.png,86255.0
38,08-07-352-003.png,66983.0
39,08-07-352-007.png,110032.0
40,08-07-352-013.png,66968.0
41,08-07-353-016.png,70623.5
42,08-07-353-002.png,68835.0
43,08-07-353-003.png,69770.5
44,08-07-353-017.png,83419.0
45,08-07-352-012.png,66884.0
46,08-07-352-006.png,80355.0
47,08-07-352-010.png,67144.0
48,08-07-352-004.png,67109.5
49,08-07-353-001.png,83534.5
50,08-07-353-015.png,68878.0
51,08-07-353-014.png,69230.0
52,08-07-352-005.png,66953.0
53,08-07-352-011.png,67136.0
54,08-07-351-002.png,69763.5
55,08-07-351-003.png,69484.5
56,08-07-351-001.png,70396.5
57,08-07-351-004.png,89737.0
