,OBJECTID,PIN,TAX_ID,ADDRESS,ACREAGE,ACRE_PL,ACRE_CR,TAX_TYPE,REV_DATE,CVT_NAME,COM_DIST_C,MSN_URL,TAX_URL,BSA_ID,Shape,GlobalID,Shape.area,Shape.len
23,231606,08-07-351-004,08-07-351-004,53539 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6903407247639~-82.9752839921332&style=o&sp=Point.42.6903407247639_-82.9752839921332_08-07-351-004_53539 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-351-004&SearchFocus=All+Records&uid=259,20-08-07-351-004,,{543B7007-4E34-4567-9457-341B0CA7F021},11697.21,439.93
24,231607,08-07-353-002,08-07-353-002,15290 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6903772538144~-82.9742346778595&style=o&sp=Point.42.6903772538144_-82.9742346778595_08-07-353-002_15290 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-002&SearchFocus=All+Records&uid=259,20-08-07-353-002,,{ED39F011-FEDD-4E83-90ED-9E73988B3746},8994.45,389.94
25,231608,08-07-353-004,08-07-353-004,15342 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6903804298597~-82.9736719470142&style=o&sp=Point.42.6903804298597_-82.9736719470142_08-07-353-004_15342 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-004&SearchFocus=All+Records&uid=259,20-08-07-353-004,,{727A0E92-E840-427F-81FE-F0E72B6182BC},9106.4,391.79
26,232396,08-07-352-011,08-07-352-011,53504 FITZGERALD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6900483095948~-82.9727231140971&style=o&sp=Point.42.6900483095948_-82.9727231140971_08-07-352-011_53504 FITZGERALD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-011&SearchFocus=All+Records&uid=259,20-08-07-352-011,,{E962645B-16A5-4C91-909A-6D45C19DFB0C},8754.46,390.1
27,232410,08-07-352-023,08-07-352-023,15308 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886301832821~-82.9742053596035&style=o&sp=Point.42.6886301832821_-82.9742053596035_08-07-352-023_15308 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-023&SearchFocus=All+Records&uid=259,20-08-07-352-023,,{EB596B90-B44F-4243-9DBF-DA7AF48EC911},8717.67,389.19
28,232411,08-07-352-029,08-07-352-029,53419 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6892559188234~-82.9752406653405&style=o&sp=Point.42.6892559188234_-82.9752406653405_08-07-352-029_53419 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-029&SearchFocus=All+Records&uid=259,20-08-07-352-029,,{F1796E9F-A030-49F0-B739-3F5814675172},9094.25,399.81
29,232412,08-07-353-021,08-07-353-021,53506 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6899666213057~-82.974580829416&style=o&sp=Point.42.6899666213057_-82.974580829416_08-07-353-021_53506 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-021&SearchFocus=All+Records&uid=259,20-08-07-353-021,,{05F6C976-BBAA-470F-9729-5E99BA232CF4},9416.78,396.9
30,232413,08-07-353-005,08-07-353-005,15368 AMBERFIELD DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6903819566328~-82.9733617898224&style=o&sp=Point.42.6903819566328_-82.9733617898224_08-07-353-005_15368 AMBERFIELD DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-005&SearchFocus=All+Records&uid=259,20-08-07-353-005,,{B9C78290-4AD4-46E7-81E1-1D9A46E661D6},10907.12,421.82
31,233473,08-07-352-024,08-07-352-024,15282 PIERMONT DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6886285071589~-82.9744654457884&style=o&sp=Point.42.6886285071589_-82.9744654457884_08-07-352-024_15282 PIERMONT DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-352-024&SearchFocus=All+Records&uid=259,20-08-07-352-024,,{A41FDB8A-F25E-437C-AC2A-4858813C2996},8713.85,389.09
32,233474,08-07-353-018,08-07-353-018,53434 ADDINGTON DR,0.0,0.0,0.0,B,"May 22, 2006",MACOMB TOWNSHIP,7,http://maps.live.com/?v=2&cp=42.6893205330246~-82.9745549459309&style=o&sp=Point.42.6893205330246_-82.9745549459309_08-07-353-018_53434 ADDINGTON DR MACOMB TOWNSHIP#JndscD0x,https://accessmygov.com/SiteSearch/SiteSearchResults?ubUsingAccountNumber=true&SearchCategory=Parcel+Number&SearchText=08-07-353-018&SearchFocus=All+Records&uid=259,20-08-07-353-018,,{9937A69E-3402-461D-8466-6ED20AC1D310},9414.08,396.83
